,tweet,lon,lat
125,"['citar', 'humano', 'cepillo', 'origen', 'persona', 'feliz', 'perder', 'hiciste', 'robar', 'vacuna', 'referencia', 'cita', 'persona', 'miserable', 'infeliz']",-99.1919955,19.357102
126,"['funcionar', 'vacuna', 'cuerpazo', 'reaccionando', 'descansa', 'abrigate', 'frio', 'flojero', 'leve', 'abrazo', 'solidario', 'dulzura']",-99.2058092,19.2970107
127,"['drenado', 'energia', 'maldito', 'vacuna']",-99.1919955,19.357102
128,"['inventar', 'dosis', 'astrazeneca', 'hora', 'noche', 'sentir', 'boa', 'morir', 'doler', 'horrible', 'cuerpo', 'cabeza']",-99.128294,19.4043522
129,"['encontrar', 'tuiteo', 'lindo', 'vacuna', 'super', 'chiquito', 'bonito']",-99.259495,19.3863707
130,"['abrimo', 'jabon', 'novia', 'olor', 'bebe', 'oler', 'efecto', 'vacuna', 'ahorita', 'pff', 'muero', 'amor', 'oler', 'bebe', 'feliz', 'mundo', 'jabones', 'natural', 'jabon', 'bebe', 'gracias']",-99.1843501,19.3998346
131,"['apapacho', 'post', 'vacuna']",-99.1919955,19.357102
132,"['entender', 'relacion', 'gozo', 'placer', 'dolor', 'deporte', 'entrenar', 'gustar', 'madrugar', 'disfrutar', 'someter', 'masaje', 'descarga', 'muscular', 'tortura', 'why']",-99.1919955,19.357102
133,"['risco', 'vacuna', 'espera', 'sentir', 'rico']",-99.140238,19.2846922
134,"['maravilloso', 'escultura', 'pezera', 'moderna', 'bonito']",-99.140238,19.2846922
135,"['ojala', 'cansancio']",-99.067766,19.3668621
136,"['dosis', 'astrazeneca', 'asesina', 'noche', 'gente', 'bonito']",-99.259495,19.3863707
137,"['pastilla', 'gripa', 'flu', 'negocio', 'farmacia', 'vacunarte']",-99.118665,19.484399
138,"['duro', 'pendejo', 'lentitud', 'post', 'vacuna']",-99.1919955,19.357102
139,"['oficial', 'pasar', 'malestar', 'post', 'vacuna', 'astrazeneca', 'yei', 'calibramo', 'tomamo', 'paracetamol']",-99.2058092,19.2970107
140,"['gracias', 'don', 'luke', 'vacuna', 'salude', 'beso', 'vecino', 'puro', 'precaucion']",-99.1919955,19.357102
141,"['mame', 'pug', 'jalo', 'recio', 'pego', 'aire', 'saca', 'maldito', 'dosis', 'menor']",-99.1843501,19.3998346
142,"['vacuna', 'servir', 'mamon', 'don', 'pendejo', 'mes', 'queque', 'drogado', 'vacuna']",-99.1919955,19.357102
143,"['llegar', 'ebria', 'vacuna', 'pongame', 'doctora', 'merezco']",-99.1919955,19.357102
144,"['gerente', 'mariano', 'osario', 'loaded', 'despertando', 'noche', 'horror', 'vacuna', 'astrazeneca', 'potente', 'jajaja', 'afortunadamente', 'ahorita', 'sonar', 'born', 'deton', 'porno', 'fino']",-99.140238,19.2846922
145,"['respeto', 'paso', 'rifar', 'vacuna', 'vacuna', 'vagon', 'metro']",-99.259495,19.3863707
146,"['cazuela', 'vacuna', 'alma', 'hambre']",-99.1919955,19.357102
147,"['postrado', 'cama', 'postvacunacion', 'jaja']",-99.180678,19.444937
148,"['vecino', 'vacuna', 'humor', 'carton']",-99.128294,19.4043522
149,"['dosis', 'vacuna', 'calentura', 'fiebre']",-99.118665,19.484399
150,"['ayy', 'cay', 'quitar', 'piedra', 'calle', 'ayy', 'doler', 'cabeza', 'pegue', 'esquina', 'arreglar', 'foco', 'alumbra', 'ayy', 'gripe', 'estornudo', 'vecino', 'vacuna', 'venir', 'vacuna']",-99.118665,19.484399
151,"['enferma', 'gripa', 'tratamiento', 'semana', 'recuperare', 'tocar', 'vacuna', 'semana']",-99.140238,19.2846922
152,"['perro', 'hermana', 'sobrino', 'adolescente', 'contagiaron', 'vacuna', 'sintoma', 'severo', 'cachorrito', 'mes', 'estornudo', 'gripa']",-99.1843501,19.3998346
153,"['tocar', 'atender', 'reaccion', 'post', 'vacuna']",-99.180678,19.444937
154,"['campo', 'contrario', 'nomas', 'ahorita']",-99.1919955,19.357102
155,"['tiau', 'anti', 'vacuna', 'exageraron', 'siglo', 'xxi', 'temer', 'inoculacion', 'inundar', 'grupo', 'foto', 'familiar', 'logico', 'deber', 'parar', 'robar', 'alma', 'poderoso', 'too']",-99.1919955,19.357102
156,"['ano', 'siglo', 'anotara', 'janssen', 'quedar', 'caliente', 'viable', 'anote', 'gol', 'rayado', 'lunes', 'mori', 'lesionado', 'janssen', 'caliente', 'traer', 'bajada']",-99.1843501,19.3998346
