,Dominant_Topic,Perc_Contribution,Topic_Keywords,0,lat,lon
1088,7.0,0.6718,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['soler', 'facil', 'persona', 'hiper', 'mama', 'complicar', 'agregan', 'dosis', 'victimismo', 'valio', 'madre', 'buscar', 'palabra', 'adecuado']",19.456367,-99.221136
1103,7.0,0.5911,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['anahuac', 'impresionante', 'rapido', 'proceso', 'dosis', 'pie']",19.412031,-99.413769
1111,7.0,0.55,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['duda', 'vacuna', 'fox', 'calderon']",19.4043522,-99.128294
1114,7.0,0.5853,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['serio', 'semana', 'dosis', 'coraje', 'pd', 'corte', 'caballito', 'rasure', 'sentir', 'chamaco']",19.2970107,-99.2058092
1120,7.0,0.4413,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['persona', 'recibir', 'vacuna', 'grabar', 'celular', 'aplicacion', 'permitir', 'denunciar', 'cuidado', 'mano', 'jeringa']",19.3998346,-99.1843501
1140,7.0,0.775,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['manana', 'tocar', 'vacuna', 'recomendacion', 'pd', 'nervioso']",19.232313,-99.364536
1144,7.0,0.4812,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['semana', 'sputnik', 'seguir', 'piquete', 'dolorcito', 'zona', 'inyeccion', 'ethel']",19.357102,-99.1919955
1150,7.0,0.4512,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['mama', 'papa', 'registrado', 'vacuna', 'volver', 'abrazar']",19.456367,-99.221136
1153,7.0,0.5517,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['ratito', 'sputnik', 'rapido', 'aplicacion', 'eficiente', 'sentir']",19.2970107,-99.2058092
1158,7.0,0.6332,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['puto', 'covid', 'mierda', 'odio', 'odio', 'persona', 'cubrir', 'cuidar', 'distancia', 'chim', 'puneta', 'vacuna', 'chale']",19.2846922,-99.140238
1190,7.0,0.5395,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['onda', 'chilladora', 'vacuna', 'madre', 'emocion']",19.357102,-99.1919955
