cluster,lat,lon
orale saber torreon acabar covid vacuna poblacion hidalgo estadio lleno ey liga ,19.357102,-99.1919955
vacunos venir vacuna patria covid ,19.484399,-99.118665
tolerancia aguantar tocar vacuna ,19.412031,-99.413769
dosis refuerzo vacuna covid vACUnAcOVID dosisrefuerzocontraelcovid sputnik spunikvcontracovid astrazeneca vacunacioncdmx terceradosis sinreaccion centro cultural jaime torre bidet ,19.496326,-99.13524
vacuna tocar mes ,19.2846922,-99.140238
vacuna mundo patria ,19.444937,-99.180678
vacuna lucco duelen refuerzo ,19.232228,-99.324375
unico vacuna funcionar vacuna amor ,19.3998346,-99.1843501
sputnik senor ruso dejar entrar europo exigir cuarentena pusiste medico respetar ver informar constantemente literatura especializado internet ,19.3998346,-99.1843501
llorar informate financio vacuna astrazeneca car slim agosto ano malo anunciar ir cerrar aeropuerto resultado ,19.332316,-98.994694
vacuna dar dato fe transo electoral ,19.087511,-99.315748
desastre eh vacuna benito juarez ,19.357102,-99.1919955
mintiendo numero vacuna titubea respuesta doctor cervante ,19.357102,-99.1919955
falso semana vacuna campo marte ,19.4043522,-99.128294
carrizo machine at biblioteca vasconcelos astrazeneca biblioteca vasconcelos ,19.44716052,-99.15095036
poner vacuna ruso ,19.3998346,-99.1843501
vacuna tu ,19.087511,-99.315748
oigan vacuna myspace ,19.3998346,-99.1843501
preocupar vacuna fiesta patria ,19.484399,-99.118665
vacuna historico ,19.444937,-99.180678
apellido alcanzar vacuna ,19.484399,-99.118665
vacuna quedar virus ,19.3998346,-99.1843501
efecto secundario vacuna ganasbienvenidofebrero amorintenso ,19.42519822838827,-99.18801649822046
vacuna peligro covid ,19.3863707,-99.259495
vacuna dondeestanlasvacunas ,19.3998346,-99.1843501
chorro gracias astrazeneca ,19.3863707,-99.259495
proceso vacuna unido reto venir contar manana opticamente california ,19.357102,-99.1919955
dosis semana ,19.3998346,-99.1843501
pedir dar tratamiento put ,19.484399,-99.118665
fecha depender vacuna otorgar gobierno federal ciudad mexico ,19.3863707,-99.259495
cantidad vacuna chimalhuacanos ,19.285882,-98.954037
vacuna padre dosis pfizer ,19.3863707,-99.259495
empezar dosis vacuna ,19.087511,-99.315748
vacuna puerco perdon corral ,19.51799,-99.330259
influyentismo vacuna de recibir dosis desperdiciar ,19.087511,-99.315748
alto nivel vacuna aumentar llegada vacacionistas internacional mexico periodo semana santo ignacio martinez academico uno feliz domingo ,19.285882,-98.954037
salud vacuna tu ,19.556216,-98.873096
mediodia aterrizara vuelo vacuna proveniente traer dosis ,19.232228,-99.324375
hora inicio vacuna manana gracias ,19.357102,-99.1919955
placa dar perro dosis vacuna sarscov verios pinche periodista amarillista ,19.3668621,-99.067766
servir corporativo pfizer amp venta corporativa vender vacuna ,19.232313,-99.364536
poder unico vacuna ,19.3863707,-99.259495
carbon dijiste vacuna ,19.412031,-99.413769
